Código,Espacialidades,IDHM Renda 1991,IDHM Renda 2000,IDHM Renda 2010,Renda per capita 1991,Renda per capita 2000,Renda per capita 2010
76,Brasil,0.647,0.692,0.739,447.56,592.46,793.87
2300101,Abaiara,0.377,0.464,0.54,83.34,143.75,229.74
2300150,Acarape,0.443,0.485,0.559,125.8,163.3,259.03
2300200,Acaraú,0.449,0.483,0.554,131.06,161.22,250.79
2300309,Acopiara,0.413,0.498,0.563,104.25,177.7,266.65
2300408,Aiuaba,0.36,0.404,0.518,74.98,99.06,200.6
2300507,Alcântaras,0.386,0.456,0.549,88.52,136.44,243.73
2300606,Altaneira,0.381,0.49,0.547,85.88,169.23,240.97
2300705,Alto Santo,0.438,0.506,0.563,121.94,186.45,265.07
2300754,Amontada,0.366,0.441,0.503,77.94,124.16,182.47
2300804,Antonina do Norte,0.409,0.48,0.55,102.26,158.85,244.83
2300903,Apuiarés,0.378,0.437,0.536,84.24,121.31,224.63
2301000,Aquiraz,0.469,0.548,0.608,147.8,242.56,352.6
2301109,Aracati,0.481,0.53,0.607,159.15,216.08,349.26
2301208,Aracoiaba,0.418,0.462,0.55,108.11,141.98,245.24
2301257,Ararendá,0.318,0.457,0.522,58.04,137.05,205.43
2301307,Araripe,0.368,0.447,0.515,79.23,129.41,197.14
2301406,Aratuba,0.423,0.444,0.53,111.35,126.67,215.94
2301505,Arneiroz,0.351,0.421,0.565,70.95,110.01,269.77
2301604,Assaré,0.398,0.445,0.573,95.29,127.68,282.6
2301703,Aurora,0.431,0.456,0.557,117.26,136.33,255.78
2301802,Baixio,0.347,0.45,0.563,69.21,131.46,265.94
2301851,Banabuiú,0.385,0.488,0.54,88.01,166.55,229.99
2301901,Barbalha,0.476,0.542,0.613,154.69,233.87,362.9
2301950,Barreira,0.436,0.468,0.551,120.35,147.18,246.69
2302008,Barro,0.392,0.488,0.556,91.52,166.99,254.44
2302057,Barroquinha,0.358,0.431,0.512,74.31,117.28,192.96
2302107,Baturité,0.463,0.526,0.574,142.91,210.55,284.88
2302206,Beberibe,0.428,0.481,0.585,115.07,159.43,304.61
2302305,Bela Cruz,0.418,0.441,0.533,107.82,124.25,221.07
2302404,Boa Viagem,0.392,0.484,0.553,91.89,162.68,250.47
2302503,Brejo Santo,0.498,0.538,0.596,177.12,226.92,325.64
2302602,Camocim,0.437,0.515,0.565,121.29,196.83,269
2302701,Campos Sales,0.446,0.55,0.584,128.57,245.47,303.68
2302800,Canindé,0.439,0.475,0.571,122.54,153.77,278.9
2302909,Capistrano,0.408,0.432,0.527,101.42,117.36,211.95
2303006,Caridade,0.408,0.451,0.528,101.44,132.82,213.18
2303105,Cariré,0.412,0.452,0.537,103.96,133.29,225.75
2303204,Caririaçu,0.365,0.438,0.549,77.46,122.43,243.1
2303303,Cariús,0.408,0.448,0.546,101.3,130.21,239.39
2303402,Carnaubal,0.38,0.472,0.536,85.05,151.19,224.37
2303501,Cascavel,0.443,0.539,0.587,125.67,228.76,309.14
2303600,Catarina,0.439,0.416,0.551,122.72,106.26,246.38
2303659,Catunda,0.356,0.418,0.537,73.11,107.87,225.43
2303709,Caucaia,0.507,0.56,0.62,187.29,260.56,379.63
2303808,Cedro,0.491,0.508,0.592,170.15,189,317.69
2303907,Chaval,0.388,0.456,0.524,89.58,136.43,208.7
2303931,Choró,0.371,0.409,0.493,80.65,102.17,171.62
2303956,Chorozinho,0.442,0.483,0.57,125.16,162.08,277.4
2304004,Coreaú,0.427,0.444,0.526,114.08,126.82,210.65
2304103,Crateús,0.478,0.546,0.618,156.33,239.4,373.18
2304202,Crato,0.533,0.599,0.655,221.16,333.37,470.46
2304236,Croatá,0.344,0.415,0.497,67.88,105.62,176.12
2304251,Cruz,0.437,0.464,0.573,121.4,143.41,282.51
2304269,Deputado Irapuan Pinheiro,0.41,0.491,0.542,102.57,170.34,233.15
2304277,Ererê,0.415,0.482,0.551,105.68,160.16,246.27
2304285,Eusébio,0.516,0.534,0.7,198.87,221.43,623.01
2304301,Farias Brito,0.41,0.463,0.541,102.52,142.4,231.88
2304350,Forquilha,0.437,0.506,0.583,121.27,187.02,300.9
2304400,Fortaleza,0.65,0.697,0.749,457.04,610.48,846.36
2304459,Fortim,0.414,0.523,0.562,105.32,207.52,264.14
2304509,Frecheirinha,0.428,0.461,0.551,114.46,140.62,246.03
2304608,General Sampaio,0.399,0.421,0.548,96.01,109.76,242.1
2304657,Graça,0.319,0.41,0.514,58.32,102.39,195.67
2304707,Granja,0.402,0.418,0.495,97.52,107.83,173.99
2304806,Granjeiro,0.344,0.398,0.533,68.08,95.12,221.14
2304905,Groaíras,0.424,0.483,0.585,112.16,161.29,304.64
2304954,Guaiúba,0.432,0.461,0.546,117.56,141.07,239.69
2305001,Guaraciaba do Norte,0.424,0.475,0.552,112.18,153.29,247.55
2305100,Guaramiranga,0.413,0.487,0.576,104.21,165.53,287.35
2305209,Hidrolândia,0.374,0.463,0.549,82.03,142.59,243.41
2305233,Horizonte,0.47,0.552,0.594,148.74,248.14,322.78
2305266,Ibaretama,0.373,0.44,0.517,81.26,123.43,199.63
2305308,Ibiapina,0.379,0.478,0.559,84.6,156.43,258.57
2305332,Ibicuitinga,0.385,0.446,0.514,88.06,128.09,196.54
2305357,Icapuí,0.488,0.498,0.572,166.95,177.85,280.79
2305407,Icó,0.431,0.493,0.568,117.02,172.34,274.01
2305506,Iguatu,0.534,0.58,0.642,222.15,295.46,434.67
2305605,Independência,0.413,0.512,0.561,104.52,194.02,262.34
2305654,Ipaporanga,0.373,0.413,0.502,81.66,104.36,182.11
2305704,Ipaumirim,0.399,0.485,0.621,95.93,163.68,380.61
2305803,Ipu,0.428,0.508,0.583,114.67,189.21,301.38
2305902,Ipueiras,0.395,0.45,0.534,93.51,131.9,222.22
2306009,Iracema,0.411,0.534,0.597,103.1,222.57,328.61
2306108,Irauçuba,0.394,0.439,0.526,93.05,122.79,211.75
2306207,Itaiçaba,0.403,0.469,0.581,97.99,148.11,296.81
2306256,Itaitinga,0.456,0.512,0.583,136.44,193.25,300.15
2306306,Itapagé,0.46,0.502,0.561,140.31,181.44,263.18
2306405,Itapipoca,0.405,0.486,0.562,99.56,164.71,264.08
2306504,Itapiúna,0.383,0.458,0.525,86.65,138.55,209.53
2306553,Itarema,0.416,0.44,0.529,106.77,123.88,214.89
2306603,Itatira,0.36,0.415,0.514,75.35,105.8,196.02
2306702,Jaguaretama,0.419,0.492,0.552,108.42,171.37,247.85
2306801,Jaguaribara,0.462,0.489,0.575,141.56,167.59,287.08
2306900,Jaguaribe,0.464,0.543,0.58,143.54,234.76,294.97
2307007,Jaguaruana,0.448,0.49,0.568,129.63,169.12,274.9
2307106,Jardim,0.4,0.453,0.547,96.23,134.08,241.09
2307205,Jati,0.392,0.494,0.562,91.76,173.06,264.55
2307254,Jijoca de Jericoacoara,0.421,0.506,0.614,109.78,187.01,365.46
2307304,Juazeiro do Norte,0.533,0.578,0.644,220.89,291.71,439.53
2307403,Jucás,0.379,0.448,0.541,84.58,129.98,232.22
2307502,Lavras da Mangabeira,0.419,0.46,0.576,108.68,139.76,288.15
2307601,Limoeiro do Norte,0.493,0.56,0.633,171.72,261.01,410.03
2307635,Madalena,0.371,0.468,0.536,80.42,147.2,225.22
2307650,Maracanaú,0.495,0.56,0.617,173.62,261.47,372.91
2307700,Maranguape,0.466,0.526,0.587,145.43,211.51,307.81
2307809,Marco,0.416,0.478,0.564,106.61,156.45,266.87
2307908,Martinópole,0.386,0.424,0.541,88.63,112.14,232.17
2308005,Massapê,0.466,0.456,0.541,144.95,136.36,231.47
2308104,Mauriti,0.383,0.495,0.544,86.68,173.73,236.11
2308203,Meruoca,0.386,0.477,0.559,88.2,156.15,258.78
2308302,Milagres,0.423,0.472,0.561,110.95,150.9,261.96
2308351,Milhã,0.347,0.479,0.56,69.44,157.76,260.95
2308377,Miraíma,0.346,0.398,0.51,68.7,95.07,191.56
2308401,Missão Velha,0.42,0.509,0.579,109.37,190.28,293.16
2308500,Mombaça,0.408,0.469,0.549,101.57,148.47,243.85
2308609,Monsenhor Tabosa,0.358,0.432,0.545,74.4,118.01,237.18
2308708,Morada Nova,0.44,0.528,0.569,123.37,214.12,276.36
2308807,Moraújo,0.414,0.413,0.495,104.99,104.84,174.55
2308906,Morrinhos,0.389,0.452,0.524,90.25,133.07,208.9
2309003,Mucambo,0.39,0.475,0.565,90.69,153.91,269.65
2309102,Mulungu,0.447,0.5,0.551,129.1,179.49,246.35
2309201,Nova Olinda,0.399,0.516,0.567,95.93,198.86,272.1
2309300,Nova Russas,0.442,0.519,0.585,124.88,202.62,304.52
2309409,Novo Oriente,0.407,0.475,0.552,100.41,153.42,247.79
2309458,Ocara,0.362,0.423,0.524,75.9,111.36,208.77
2309508,Orós,0.431,0.476,0.582,117.28,154.32,298.84
2309607,Pacajus,0.501,0.524,0.609,180.56,208.74,354.78
2309706,Pacatuba,0.476,0.52,0.605,154.65,203.31,344.63
2309805,Pacoti,0.446,0.48,0.571,128.18,158.45,279.49
2309904,Pacujá,0.537,0.549,0.562,225.6,243.05,264.03
2310001,Palhano,0.35,0.441,0.572,70.44,124.8,281.69
2310100,Palmácia,0.461,0.459,0.59,140.63,139.04,315.23
2310209,Paracuru,0.456,0.482,0.597,136.41,160.46,328.2
2310258,Paraipaba,0.467,0.489,0.574,146.07,168.12,283.79
2310308,Parambu,0.43,0.452,0.526,116.46,133.14,211.05
2310407,Paramoti,0.377,0.424,0.515,83.73,111.72,196.63
2310506,Pedra Branca,0.388,0.485,0.541,89.25,163.51,231.56
2310605,Penaforte,0.41,0.508,0.566,102.88,189.06,271.18
2310704,Pentecoste,0.419,0.49,0.562,108.62,169.1,264.95
2310803,Pereiro,0.365,0.458,0.525,77.52,138.16,209.49
2310852,Pindoretama,0.447,0.522,0.581,128.81,205.36,296.99
2310902,Piquet Carneiro,0.399,0.462,0.53,95.53,141.99,217.02
2310951,Pires Ferreira,0.368,0.446,0.51,79,128.37,191.39
2311009,Poranga,0.368,0.44,0.527,79.04,123.9,212.87
2311108,Porteiras,0.416,0.489,0.531,106.62,167.91,218.44
2311207,Potengi,0.398,0.475,0.529,94.92,153.86,215.12
2311231,Potiretama,0.381,0.456,0.544,85.71,136.46,236.09
2311264,Quiterianópolis,0.301,0.462,0.524,52.13,141.41,208.58
2311306,Quixadá,0.484,0.518,0.592,162.21,200.88,317.66
2311355,Quixelô,0.442,0.449,0.548,124.91,130.9,242.27
2311405,Quixeramobim,0.464,0.492,0.592,143.96,170.44,317.45
2311504,Quixeré,0.443,0.484,0.56,126.36,162.84,260.79
2311603,Redenção,0.425,0.47,0.567,112.29,149.24,273.08
2311702,Reriutaba,0.423,0.471,0.56,111.55,149.88,260.65
2311801,Russas,0.504,0.533,0.617,184.64,219.91,372.43
2311900,Saboeiro,0.353,0.417,0.533,72.1,107.25,220.94
2311959,Salitre,0.328,0.422,0.497,61.77,110.64,176.75
2312007,Santana do Acaraú,0.419,0.477,0.536,108.78,156.15,224.83
2312106,Santana do Cariri,0.406,0.43,0.527,100.25,116.03,212.7
2312205,Santa Quitéria,0.384,0.482,0.546,87.41,160.84,238.84
2312304,São Benedito,0.411,0.499,0.562,102.94,178.54,263.94
2312403,São Gonçalo do Amarante,0.435,0.484,0.587,119.92,162.82,309.14
2312502,São João do Jaguaribe,0.464,0.533,0.62,143.71,220.84,378.76
2312601,São Luís do Curu,0.478,0.519,0.558,156.4,201.74,257.9
2312700,Senador Pompeu,0.485,0.521,0.574,163.83,204.25,283.8
2312809,Senador Sá,0.391,0.383,0.528,91.31,86.97,214.23
2312908,Sobral,0.516,0.582,0.647,198.63,299.41,448.89
2313005,Solonópole,0.405,0.485,0.565,99.38,163.36,269.25
2313104,Tabuleiro do Norte,0.501,0.549,0.62,180.2,243.29,379.75
2313203,Tamboril,0.384,0.425,0.526,87.15,112.89,211.64
2313252,Tarrafas,0.276,0.387,0.529,44.65,89,214.72
2313302,Tauá,0.442,0.522,0.585,125.18,206.21,305.42
2313351,Tejuçuoca,0.358,0.424,0.517,74.45,112.1,199.81
2313401,Tianguá,0.477,0.503,0.628,155.91,182.63,398.29
2313500,Trairi,0.391,0.438,0.522,91.41,122.12,205.89
2313559,Tururu,0.366,0.414,0.508,78.08,105.47,188.84
2313609,Ubajara,0.44,0.527,0.595,123.67,213.07,325.13
2313708,Umari,0.331,0.444,0.535,62.65,126.74,223.62
2313757,Umirim,0.391,0.432,0.514,91.43,117.49,195.42
2313807,Uruburetama,0.442,0.471,0.564,125.41,150.06,267.47
2313906,Uruoca,0.378,0.424,0.503,83.91,112.11,182.85
2313955,Varjota,0.45,0.499,0.575,131.22,178.04,286.41
2314003,Várzea Alegre,0.381,0.484,0.569,85.75,162.42,276.17
2314102,Viçosa do Ceará,0.385,0.425,0.521,88.06,112.79,204.23
